requirement_id,wave,category,title,implementation_target,autonomous_behavior,acceptance_criteria,required_evidence,qa_gates,visual_runtime_ready,video_runtime_ready,audio_runtime_ready,comfyui_integration_required,simulation_backend_required,deferred_status,activation_gate,source_key,source_file_relative,citation_section,citation_line_start,citation_line_end
W73-0001,73,production_rig_collision_gravity_maps,Implement production_armature_builder,production_armature_builder,"Autonomously build, validate, and evidence create a production-grade skeleton/armature independent of DAZ rig quirks.","production_armature_builder passes production-rig, physics-map, collision, gravity, visual overlay, and no-regression QA before any downstream ComfyUI conditioning can trust it.",production_body_manifest; rig_or_proxy_artifact; map_or_cache_artifact; preview_overlay; physics_validation_report; visual_qa_report,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Activate only after Wave72 can produce a fitted production base and the active ComfyUI foundation has capacity for simulation-map integration.,W73:production_rig_collision_gravity_maps:production_armature_builder,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE73_PRODUCTION_RIG_COLLISION_GRAVITY_SOFT_BODY_MAP_GENERATION.md,Production Rig Collision Gravity Maps,23,61
W73-0002,73,production_rig_collision_gravity_maps,Implement skin_weight_generation,skin_weight_generation,"Autonomously build, validate, and evidence generate and validate clean skin weights for body, face, hands, and feet.","skin_weight_generation passes production-rig, physics-map, collision, gravity, visual overlay, and no-regression QA before any downstream ComfyUI conditioning can trust it.",production_body_manifest; rig_or_proxy_artifact; map_or_cache_artifact; preview_overlay; physics_validation_report; visual_qa_report,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Activate only after Wave72 can produce a fitted production base and the active ComfyUI foundation has capacity for simulation-map integration.,W73:production_rig_collision_gravity_maps:skin_weight_generation,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE73_PRODUCTION_RIG_COLLISION_GRAVITY_SOFT_BODY_MAP_GENERATION.md,Production Rig Collision Gravity Maps,23,61
W73-0003,73,production_rig_collision_gravity_maps,Implement ik_fk_control_rig,ik_fk_control_rig,"Autonomously build, validate, and evidence IK/FK controls, pole targets, constraints, and animation handles for autonomous pose/application.","ik_fk_control_rig passes production-rig, physics-map, collision, gravity, visual overlay, and no-regression QA before any downstream ComfyUI conditioning can trust it.",production_body_manifest; rig_or_proxy_artifact; map_or_cache_artifact; preview_overlay; physics_validation_report; visual_qa_report,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Activate only after Wave72 can produce a fitted production base and the active ComfyUI foundation has capacity for simulation-map integration.,W73:production_rig_collision_gravity_maps:ik_fk_control_rig,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE73_PRODUCTION_RIG_COLLISION_GRAVITY_SOFT_BODY_MAP_GENERATION.md,Production Rig Collision Gravity Maps,23,61
W73-0004,73,production_rig_collision_gravity_maps,Implement face_rig_expression_system,face_rig_expression_system,"Autonomously build, validate, and evidence face controls, expression regions, jaw/eyes/mouth anchors, and identity-preserving face morphing.","face_rig_expression_system passes production-rig, physics-map, collision, gravity, visual overlay, and no-regression QA before any downstream ComfyUI conditioning can trust it.",production_body_manifest; rig_or_proxy_artifact; map_or_cache_artifact; preview_overlay; physics_validation_report; visual_qa_report,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Activate only after Wave72 can produce a fitted production base and the active ComfyUI foundation has capacity for simulation-map integration.,W73:production_rig_collision_gravity_maps:face_rig_expression_system,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE73_PRODUCTION_RIG_COLLISION_GRAVITY_SOFT_BODY_MAP_GENERATION.md,Production Rig Collision Gravity Maps,23,61
W73-0005,73,production_rig_collision_gravity_maps,Implement corrective_shapes_shoulders,corrective_shapes_shoulders,"Autonomously build, validate, and evidence pose-space shoulder/armpit corrective deformation.","corrective_shapes_shoulders passes production-rig, physics-map, collision, gravity, visual overlay, and no-regression QA before any downstream ComfyUI conditioning can trust it.",production_body_manifest; rig_or_proxy_artifact; map_or_cache_artifact; preview_overlay; physics_validation_report; visual_qa_report,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Activate only after Wave72 can produce a fitted production base and the active ComfyUI foundation has capacity for simulation-map integration.,W73:production_rig_collision_gravity_maps:corrective_shapes_shoulders,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE73_PRODUCTION_RIG_COLLISION_GRAVITY_SOFT_BODY_MAP_GENERATION.md,Production Rig Collision Gravity Maps,23,61
W73-0006,73,production_rig_collision_gravity_maps,Implement corrective_shapes_elbows_wrists,corrective_shapes_elbows_wrists,"Autonomously build, validate, and evidence elbow and wrist bend/skin fold corrective deformation.","corrective_shapes_elbows_wrists passes production-rig, physics-map, collision, gravity, visual overlay, and no-regression QA before any downstream ComfyUI conditioning can trust it.",production_body_manifest; rig_or_proxy_artifact; map_or_cache_artifact; preview_overlay; physics_validation_report; visual_qa_report,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Activate only after Wave72 can produce a fitted production base and the active ComfyUI foundation has capacity for simulation-map integration.,W73:production_rig_collision_gravity_maps:corrective_shapes_elbows_wrists,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE73_PRODUCTION_RIG_COLLISION_GRAVITY_SOFT_BODY_MAP_GENERATION.md,Production Rig Collision Gravity Maps,23,61
W73-0007,73,production_rig_collision_gravity_maps,Implement corrective_shapes_hips_thighs,corrective_shapes_hips_thighs,"Autonomously build, validate, and evidence hip/thigh/belly contact corrective deformation.","corrective_shapes_hips_thighs passes production-rig, physics-map, collision, gravity, visual overlay, and no-regression QA before any downstream ComfyUI conditioning can trust it.",production_body_manifest; rig_or_proxy_artifact; map_or_cache_artifact; preview_overlay; physics_validation_report; visual_qa_report,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Activate only after Wave72 can produce a fitted production base and the active ComfyUI foundation has capacity for simulation-map integration.,W73:production_rig_collision_gravity_maps:corrective_shapes_hips_thighs,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE73_PRODUCTION_RIG_COLLISION_GRAVITY_SOFT_BODY_MAP_GENERATION.md,Production Rig Collision Gravity Maps,23,61
W73-0008,73,production_rig_collision_gravity_maps,Implement corrective_shapes_knees_ankles,corrective_shapes_knees_ankles,"Autonomously build, validate, and evidence knee/ankle/foot bend and pressure corrective deformation.","corrective_shapes_knees_ankles passes production-rig, physics-map, collision, gravity, visual overlay, and no-regression QA before any downstream ComfyUI conditioning can trust it.",production_body_manifest; rig_or_proxy_artifact; map_or_cache_artifact; preview_overlay; physics_validation_report; visual_qa_report,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Activate only after Wave72 can produce a fitted production base and the active ComfyUI foundation has capacity for simulation-map integration.,W73:production_rig_collision_gravity_maps:corrective_shapes_knees_ankles,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE73_PRODUCTION_RIG_COLLISION_GRAVITY_SOFT_BODY_MAP_GENERATION.md,Production Rig Collision Gravity Maps,23,61
W73-0009,73,production_rig_collision_gravity_maps,Implement collision_capsule_proxy_set,collision_capsule_proxy_set,"Autonomously build, validate, and evidence capsule proxies for torso, arms, legs, fingers, and support-safe collision.","collision_capsule_proxy_set passes production-rig, physics-map, collision, gravity, visual overlay, and no-regression QA before any downstream ComfyUI conditioning can trust it.",production_body_manifest; rig_or_proxy_artifact; map_or_cache_artifact; preview_overlay; physics_validation_report; visual_qa_report,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Activate only after Wave72 can produce a fitted production base and the active ComfyUI foundation has capacity for simulation-map integration.,W73:production_rig_collision_gravity_maps:collision_capsule_proxy_set,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE73_PRODUCTION_RIG_COLLISION_GRAVITY_SOFT_BODY_MAP_GENERATION.md,Production Rig Collision Gravity Maps,23,61
W73-0010,73,production_rig_collision_gravity_maps,Implement collision_sphere_proxy_set,collision_sphere_proxy_set,"Autonomously build, validate, and evidence sphere proxies for joints and soft zones.","collision_sphere_proxy_set passes production-rig, physics-map, collision, gravity, visual overlay, and no-regression QA before any downstream ComfyUI conditioning can trust it.",production_body_manifest; rig_or_proxy_artifact; map_or_cache_artifact; preview_overlay; physics_validation_report; visual_qa_report,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Activate only after Wave72 can produce a fitted production base and the active ComfyUI foundation has capacity for simulation-map integration.,W73:production_rig_collision_gravity_maps:collision_sphere_proxy_set,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE73_PRODUCTION_RIG_COLLISION_GRAVITY_SOFT_BODY_MAP_GENERATION.md,Production Rig Collision Gravity Maps,23,61
W73-0011,73,production_rig_collision_gravity_maps,Implement collision_convex_proxy_set,collision_convex_proxy_set,"Autonomously build, validate, and evidence convex hull proxies for more accurate body/prop collision.","collision_convex_proxy_set passes production-rig, physics-map, collision, gravity, visual overlay, and no-regression QA before any downstream ComfyUI conditioning can trust it.",production_body_manifest; rig_or_proxy_artifact; map_or_cache_artifact; preview_overlay; physics_validation_report; visual_qa_report,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Activate only after Wave72 can produce a fitted production base and the active ComfyUI foundation has capacity for simulation-map integration.,W73:production_rig_collision_gravity_maps:collision_convex_proxy_set,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE73_PRODUCTION_RIG_COLLISION_GRAVITY_SOFT_BODY_MAP_GENERATION.md,Production Rig Collision Gravity Maps,23,61
W73-0012,73,production_rig_collision_gravity_maps,Implement sdf_collision_proxy_set,sdf_collision_proxy_set,"Autonomously build, validate, and evidence optional SDF/volume collision fields for advanced adapters.","sdf_collision_proxy_set passes production-rig, physics-map, collision, gravity, visual overlay, and no-regression QA before any downstream ComfyUI conditioning can trust it.",production_body_manifest; rig_or_proxy_artifact; map_or_cache_artifact; preview_overlay; physics_validation_report; visual_qa_report,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Activate only after Wave72 can produce a fitted production base and the active ComfyUI foundation has capacity for simulation-map integration.,W73:production_rig_collision_gravity_maps:sdf_collision_proxy_set,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE73_PRODUCTION_RIG_COLLISION_GRAVITY_SOFT_BODY_MAP_GENERATION.md,Production Rig Collision Gravity Maps,23,61
W73-0013,73,production_rig_collision_gravity_maps,Implement center_of_mass_model,center_of_mass_model,"Autonomously build, validate, and evidence body-wide and per-region center-of-mass model.","center_of_mass_model passes production-rig, physics-map, collision, gravity, visual overlay, and no-regression QA before any downstream ComfyUI conditioning can trust it.",production_body_manifest; rig_or_proxy_artifact; map_or_cache_artifact; preview_overlay; physics_validation_report; visual_qa_report,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Activate only after Wave72 can produce a fitted production base and the active ComfyUI foundation has capacity for simulation-map integration.,W73:production_rig_collision_gravity_maps:center_of_mass_model,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE73_PRODUCTION_RIG_COLLISION_GRAVITY_SOFT_BODY_MAP_GENERATION.md,Production Rig Collision Gravity Maps,23,61
