Column,Meaning
Tracker_ID,Unique tracker row ID.
Wave,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Phase,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Workstream,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Priority,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Risk_Level,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Owner_Role,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Environment,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Status,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Task_Name,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Detailed_Action,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Completion_Criteria,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Acceptance_Evidence,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Dependency_Prerequisite,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Validation_Method,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Output_Artifact,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Source_Path,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Related_Source_Paths,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Package_Top_Level_Directory,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Autonomous_Execution_Mode,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Human_Input_Allowed,Must be FALSE for full autonomous execution.
Human_Work_Allowed,Must be FALSE for full autonomous execution.
Codex_Desktop_Action,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
QA_Strictness,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Visual_Review_Required,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Visual_Review_Method,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Test_Required,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Runtime_Proof_Required,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
EC2_Allowed,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Preview_Required,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Final_Render_Gate,Final render gate; must remain blocked until preview QA and preflight pass.
Evidence_Path,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Citation_File,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Citation_Full_Path,Exact source citation path under C:\Comfy_UI_Main\Plan.
Citation_Section,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Citation_Line_Start,Start line of cited source section.
Citation_Line_End,End line of cited source section.
Citation_Excerpt,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Source_Package,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Source_Type,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Source_Item_ID,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Blocker_Policy,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Rerun_Policy,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Status_Decision,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
Notes,"Tracker field used for autonomous execution, QA, evidence, citations, and status control."
